method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
hard_freeze,0.9018160000000002,0.011360206570891788,0.0070411289809897085,0.059560000000000016,0.015058124422088938,0.009333122210945516,-0.059560000000000016,0.015058124422088938,0.009333122210945516,0.0031799999999999997,0.011569552954006286,0.007170883213539475,0.9018160000000002,0.011360206570891788,0.0070411289809897085,0.059560000000000016,0.015058124422088938,0.009333122210945516,0.0,0.0,0.0,18.746697704697727,0.0724083092090765,0.04487913500999568,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay,0.9320360000000001,0.002443782132496894,0.0015146718582070597,0.038615,0.0034399652776025322,0.0021321125684270114,-0.038615,0.0034399652776025322,0.0021321125684270114,0.011975000000000001,0.014599053432024663,0.009048587063428435,0.9320360000000001,0.002443782132496894,0.0015146718582070597,0.038615,0.0034399652776025322,0.0021321125684270114,0.0,0.0,0.0,12.004313038097461,0.3976307900690266,0.24645411702835554,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
distillation,0.7205959999999999,0.04600117273867413,0.028511822255038947,0.17254999999999998,0.04516480930990411,0.02799343883126902,-0.168885,0.047946984901150055,0.02971784912816613,0.01365,0.020388041157066123,0.0126366388287744,0.7205959999999999,0.04600117273867413,0.028511822255038947,0.17254999999999998,0.04516480930990411,0.02799343883126902,0.0,0.0,0.0,11.050129535698215,0.2076541352236668,0.1287053664404395,505600.0,0.0,0.0,910080.0,0.0,0.0,2055923302400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay,0.9421039999999999,0.0032356459083843435,0.00200547411137061,0.01972,0.0024223725743346986,0.001501402076578944,-0.019645000000000003,0.002376324192248753,0.0014728609936673165,0.006869999999999999,0.01430641270355516,0.00886720646076191,0.9421039999999999,0.0032356459083843435,0.00200547411137061,0.01972,0.0024223725743346986,0.001501402076578944,0.0,0.0,0.0,23.96115371400083,0.0646515737073771,0.040071460536995326,707840.0,0.0,0.0,707840.0,0.0,0.0,2276655594260.0,0.0,0.0,4319312660.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_distillation,0.68056,0.021770030367967378,0.013493204615986845,0.09267,0.03459890974518641,0.02144462643326346,-0.089275,0.03782016106963762,0.023441178689079033,0.010245,0.015798091481075943,0.009791758545724956,0.68056,0.021770030367967378,0.013493204615986845,0.09267,0.03459890974518641,0.02144462643326346,0.0,0.0,0.0,21.883827382497838,0.15521861264060263,0.09620549283435856,505600.0,0.0,0.0,910080.0,0.0,0.0,2059613244180.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derpp,0.954864,0.0027579831600484674,0.0017094156726918045,0.009144999999999992,0.0015239659517923146,0.0009445638829051752,-0.00912499999999999,0.001538984152687173,0.0009538722602575785,0.00865,0.014917793253546436,0.00924614405156129,0.954864,0.0027579831600484674,0.0017094156726918045,0.009144999999999992,0.0015239659517923146,0.0009445638829051752,0.0,0.0,0.0,12.715085652598646,0.4182364227419724,0.2592256204759128,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
slowheat_derpp_hidden_beta_30_budget_0.25,0.955716,0.00306228382456986,0.0018980231785963215,0.003579999999999994,0.000873117021557445,0.0005411635365888368,-0.0033799999999999998,0.000989724989861105,0.0006134379041290369,0.0043700000000000015,0.01403899727346809,0.008701460660014372,0.955716,0.00306228382456986,0.0018980231785963215,0.003579999999999994,0.000873117021557445,0.0005411635365888368,0.0,0.0,0.0,21.14705373420147,0.19155890631716146,0.11872944021039723,707840.0,0.0,0.0,707840.0,0.0,0.0,2276617128960.0,0.0,0.0,4280847360.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
er_ace,0.932396,0.0030213139157952177,0.0018726297660539126,0.038179999999999985,0.004205895333404704,0.0026068409353510982,-0.038179999999999985,0.004205895333404704,0.0026068409353510982,0.010850000000000002,0.01574935624786684,0.009761552135233869,0.932396,0.0030213139157952177,0.0018726297660539126,0.038179999999999985,0.004205895333404704,0.0026068409353510982,0.0,0.0,0.0,12.832377134793205,0.5169191499448184,0.32038980847681064,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.938528,0.002182581549959187,0.0013527780598785958,0.024319999999999987,0.0033127866752261015,0.002053286454010312,-0.024264999999999988,0.003337917680896953,0.0020688628127011697,0.005835000000000002,0.016790838275678795,0.010407069383837123,0.938528,0.002182581549959187,0.0013527780598785958,0.024319999999999987,0.0033127866752261015,0.002053286454010312,0.0,0.0,0.0,20.93638837709732,0.24529849996935615,0.1520375854390781,707840.0,0.0,0.0,707840.0,0.0,0.0,2276617128960.0,0.0,0.0,4280847360.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
agem,0.9313519999999998,0.003953048893645966,0.0024501250883622733,0.039005,0.004914629521472923,0.003046118936176536,-0.039005,0.004914629521472923,0.003046118936176536,0.012385000000000004,0.013788140032490081,0.008545977731203271,0.9313519999999998,0.003953048893645966,0.0024501250883622733,0.039005,0.004914629521472923,0.003046118936176536,0.0,0.0,0.0,13.429192026800592,0.24061470941905783,0.14913454197954334,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
