method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
slowheat_derpp_hidden_beta_30_budget_0.25,0.85212,0.009840144533717232,0.006098984769433191,0.15974999999999998,0.015221968773234748,0.009434673991894658,-0.15974999999999998,0.015221968773234748,0.009434673991894658,-0.13367500000000004,0.07408226002222125,0.04591666047307883,0.9836,0.002531578339472976,0.0015690885110647842,0.007475000000000007,0.0038486108604996144,0.002385393724780509,0.13147999999999996,0.010009417787486187,0.006203901419089277,4.248878039294505,0.14917460544317562,0.09245937836244777,143360.0,0.0,0.0,143360.0,0.0,0.0,202331580800.0,0.0,0.0,407300480.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
er_ace,0.7071000000000001,0.011864887507075492,0.007353933465991001,0.043600000000000014,0.01431888806980331,0.008874938772871745,0.45515,0.04481570285315429,0.027777060407625724,-0.13269999999999998,0.07584686692423241,0.04701037516217976,0.98278,0.0025200529094974887,0.0015619449755566622,0.011900000000000008,0.0030212212394622453,0.0018725723246676251,0.27568000000000004,0.010842385961278709,0.006720180442021884,2.5739448422013083,0.10846000763929907,0.06722420919917164,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.70106,0.014824619163180319,0.009188394152044917,0.050000000000000024,0.01320248293146238,0.008182983699251892,0.4681750000000001,0.04516267663802834,0.027992116987545695,-0.13327499999999998,0.07387399651508716,0.0457875774140153,0.98406,0.002771361478487495,0.0017177076403677542,0.008375000000000007,0.0033546195346450605,0.0020792147289034136,0.28300000000000003,0.013567280903376028,0.008409087824755116,4.159251663394389,0.16950454831861977,0.10506000750320096,143360.0,0.0,0.0,143360.0,0.0,0.0,202331580800.0,0.0,0.0,407300480.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
agem,0.20268000000000003,0.016546553854033908,0.010255660330655347,0.9856,0.019653668020668945,0.012181469643136909,-0.9856,0.019653668020668945,0.012181469643136909,-0.13392500000000002,0.07444256268351385,0.04613997837619297,0.91408,0.03138339263580871,0.0194516282807721,0.09645000000000001,0.03906241444435075,0.02421113530772336,0.7114,0.024448040139583092,0.015153052268987473,2.6923156440956517,0.10249515462255548,0.06352715499672855,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
ewc,0.1956,0.0009568466729604886,0.0005930597121894408,0.992475,0.001271755130168978,0.0007882419961182261,-0.992475,0.001271755130168978,0.0007882419961182261,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6972400000000001,0.03669269379287623,0.022742367231031842,0.365425,0.0449032988765859,0.027831352985437128,0.5016400000000001,0.03652272352020497,0.022637018564584277,2.816542672898504,0.1384307541222484,0.08580027032324537,102400.0,0.0,0.0,102400.0,0.0,0.0,144834778290.0,0.0,0.0,603149490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
si,0.19596,0.001069994807879406,0.0006631896527808277,0.9925999999999998,0.0013601470508735234,0.0008430278761701643,-0.9925999999999998,0.0013601470508735234,0.0008430278761701643,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.70456,0.04290421372727338,0.026592307172981833,0.35685,0.052694639196032074,0.032660475746688074,0.5085999999999999,0.04265551937713725,0.026438164817803304,3.1091939220001223,0.13460383803814527,0.0834283231601861,102400.0,0.0,0.0,102400.0,0.0,0.0,145402655880.0,0.0,0.0,1171027080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lwf_calibrated,0.19596,0.001345940398218117,0.0008342225016278436,0.9925749999999999,0.001958067357824474,0.0012136227218996385,-0.9925749999999999,0.001958067357824474,0.0012136227218996385,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.8893000000000001,0.04837090493720829,0.02998059748867218,0.12599999999999997,0.06006258310203524,0.03722717469209227,0.69334,0.04805617546164069,0.029785526138713724,2.2291513671021677,0.10088662073985293,0.06253017536720129,102400.0,0.0,0.0,184320.0,0.0,0.0,182693396480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay_balanced,0.7699200000000002,0.01292583975350669,0.008011518481120389,0.27252499999999996,0.01694986479788754,0.010505635043473899,-0.27252499999999996,0.01694986479788754,0.010505635043473899,-0.134,0.07467047981334762,0.04628124287680941,0.98342,0.0016771669233826623,0.0010395188288605196,0.01125000000000001,0.0027713815247193173,0.0017177200651509624,0.21349999999999997,0.014077326134998493,0.0087252171345156,2.3691934827074874,0.10090179328916418,0.06253957941069331,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
replay_more_epochs,0.7604000000000001,0.01569401867662397,0.009727253553233244,0.28614999999999996,0.02019116968710167,0.012514616627501352,-0.28614999999999996,0.02019116968710167,0.012514616627501352,-0.130925,0.07884813550251028,0.04887058069932144,0.98124,0.002914789872357843,0.0018066054798986809,0.014375000000000008,0.003946253497517189,0.002445913258205748,0.22084,0.01470927145261336,0.009116900900342534,4.819595574800042,0.19673737081079318,0.12193908575650583,286720.0,0.0,0.0,286720.0,0.0,0.0,403848560640.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
replay_early_stopping,0.77668,0.01567679105486123,0.009716575762639368,0.2532,0.01979576273403533,0.012269540858927393,-0.2532,0.01979576273403533,0.012269540858927393,-0.132375,0.07994913747710686,0.049552988793142766,0.9809000000000001,0.0025179356624028607,0.0015606326922117358,0.007825000000000002,0.00384969334998112,0.002386064658712237,0.20421999999999993,0.016608016805814644,0.010293755462846816,1.68577381070063,0.24151344799589652,0.1496915859206216,95334.4,12101.217452067467,7500.412283464481,95334.4,12101.217452067467,7500.412283464481,134279646412.8,17044709995.84645,10564420706.207125,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
replay_global_lr_reduction,0.6700800000000001,0.017875420740969022,0.01107930056035426,0.37449999999999994,0.023472205785661567,0.01454822387021102,-0.37449999999999994,0.023472205785661567,0.01454822387021102,-0.12742499999999998,0.07461810641898892,0.046248781510675734,0.9741,0.0017894754041959744,0.0011091283464455032,0.005300000000000002,0.0015311578770474444,0.0009490214843604832,0.30402,0.018214633921352606,0.011289547067777147,2.416051032402902,0.1370484982039288,0.08494353922906242,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay_hidden_beta_30_budget_0.25,0.7642599999999999,0.0170820373492157,0.010587556439518989,0.27607499999999996,0.02192064285857815,0.013586555204809397,-0.27607499999999996,0.02192064285857815,0.013586555204809397,-0.13162500000000002,0.07574731843438419,0.04694867436893186,0.9822599999999999,0.0025034198831021324,0.0015516357189896209,0.009625000000000005,0.0034505434354605647,0.002138668978593929,0.21799999999999997,0.017582567123906146,0.01089778800797052,4.102772583501064,0.13541455187790466,0.08393080880398114,143360.0,0.0,0.0,143360.0,0.0,0.0,202331580800.0,0.0,0.0,407300480.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
