method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
hard_freeze,0.9030520000000001,0.01035899694843943,0.006420572827833274,0.058565,0.01346035433741954,0.008342814052557782,-0.058565,0.01346035433741954,0.008342814052557782,0.007715000000000001,0.01175500011815303,0.007285824556706749,0.9030520000000001,0.01035899694843943,0.006420572827833274,0.058565,0.01346035433741954,0.008342814052557782,0.0,0.0,0.0,72.90667296490865,0.42482431002472526,0.2633088353171763,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay,0.9321600000000002,0.0033121459978556296,0.0020528893580620527,0.03868500000000001,0.004561070171693386,0.002826980580839644,-0.03868500000000001,0.004561070171693386,0.002826980580839644,0.012055000000000001,0.013457720832295487,0.008341181789171122,0.9321600000000002,0.0033121459978556296,0.0020528893580620527,0.03868500000000001,0.004561070171693386,0.002826980580839644,0.0,0.0,0.0,56.37354720639996,0.13103812178886734,0.08121826933201826,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
distillation,0.719064,0.03106422994735621,0.019253809197000184,0.17804,0.036726714467204324,0.022763453463440518,-0.175065,0.03930197231409357,0.024359614813685187,0.009340000000000003,0.019161996532488755,0.011876728497546974,0.719064,0.03106422994735621,0.019253809197000184,0.17804,0.036726714467204324,0.022763453463440518,0.0,0.0,0.0,53.50435258850048,0.15112380028183592,0.09366750183999552,505600.0,0.0,0.0,910080.0,0.0,0.0,2055923302400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay,0.94238,0.002903561032020284,0.0017996457725526645,0.01964000000000001,0.003161030071212728,0.001959226736354028,-0.01964000000000001,0.003161030071212728,0.001959226736354028,0.0079,0.014666155294115467,0.009090177228439742,0.94238,0.002903561032020284,0.0017996457725526645,0.01964000000000001,0.003161030071212728,0.001959226736354028,0.0,0.0,0.0,85.69193532549835,0.18588756541189164,0.11521430669940218,707840.0,0.0,0.0,707840.0,0.0,0.0,2276655594260.0,0.0,0.0,4319312660.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_distillation,0.6921760000000001,0.022107874514650974,0.013702602587531377,0.08352,0.03231834876144921,0.020031120091164804,-0.08015499999999999,0.034428270440955276,0.021338863096758972,0.010375000000000002,0.0143472267935886,0.008892503295847948,0.6921760000000001,0.022107874514650974,0.013702602587531377,0.08352,0.03231834876144921,0.020031120091164804,0.0,0.0,0.0,82.69616471840126,0.2582322410886068,0.1600540012374244,505600.0,0.0,0.0,910080.0,0.0,0.0,2059613244180.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derpp,0.9551759999999998,0.002797281219724329,0.0017337728624271889,0.009404999999999997,0.0011814421507443953,0.0007322654315357356,-0.009404999999999997,0.0011814421507443953,0.0007322654315357356,0.008005000000000002,0.015355843078993311,0.009517650146263346,0.9551759999999998,0.002797281219724329,0.0017337728624271889,0.009404999999999997,0.0011814421507443953,0.0007322654315357356,0.0,0.0,0.0,56.7380326183993,0.07569629776552655,0.046917051430750124,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
slowheat_derpp_hidden_beta_30_budget_0.25,0.95558,0.002725631425315359,0.0016893638597610208,0.003775000000000009,0.0008718594433100253,0.000540384081515682,-0.003685000000000005,0.0009137985433221945,0.0005663782050106677,0.00489,0.016293672936995445,0.010098923114427156,0.95558,0.002725631425315359,0.0016893638597610208,0.003775000000000009,0.0008718594433100253,0.000540384081515682,0.0,0.0,0.0,84.61227482290414,0.2860383541567369,0.1772884086710313,707840.0,0.0,0.0,707840.0,0.0,0.0,2276617128960.0,0.0,0.0,4280847360.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
er_ace,0.9330360000000001,0.0031380928390770616,0.0019450100925873601,0.03735000000000001,0.005089695472226207,0.0031546259366206923,-0.03735000000000001,0.005089695472226207,0.0031546259366206923,0.010850000000000002,0.013684358467486397,0.008481653250791773,0.9330360000000001,0.0031380928390770616,0.0019450100925873601,0.03735000000000001,0.005089695472226207,0.0031546259366206923,0.0,0.0,0.0,56.453543337297745,0.10669641499644235,0.0661311231544076,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
agem,0.932216,0.003751441796903631,0.0023251677152029736,0.03778000000000001,0.004734518630934575,0.002934485049658055,-0.03778000000000001,0.004734518630934575,0.002934485049658055,0.01212,0.014280682367761316,0.008851258633412287,0.932216,0.003751441796903631,0.0023251677152029736,0.03778000000000001,0.004734518630934575,0.002934485049658055,0.0,0.0,0.0,59.85324310259894,0.09373953999078687,0.05810036882471583,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
ewc,0.8068479999999999,0.032326098434546646,0.02003592338831429,0.194635,0.042426459576804444,0.026296192082674037,-0.194635,0.042426459576804444,0.026296192082674037,0.009995,0.01396888307791444,0.008658003431379416,0.8068479999999999,0.032326098434546646,0.02003592338831429,0.194635,0.042426459576804444,0.026296192082674037,0.0,0.0,0.0,54.16477109229745,0.15619803788917863,0.0968125468927004,505600.0,0.0,0.0,505600.0,0.0,0.0,1629872762610.0,0.0,0.0,6775418610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
